Name,Age,Height_cm,Weight_kg,Preferred_foot,Best_Position,Acceleration,Aggression,Agility,Balance,Ball_Control,Composure,Crossing,Curve,Defensive_Awareness,Dribbling,Finishing,Free_Kick_Accuracy,Heading_Accuracy,Interceptions,Jumping,Long_Passing,Long_Shots,Penalties,Positioning,Reactions,Short_Passing,Shot_Power,Sliding_Tackle,Sprint_Speed,Stamina,Standing_Tackle,Strength,Vision,Volleys,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes,GK_Speed,Weak_Foot,Attacking_Work_Rate,Defensive_Work_Rate,Body_Type,Dribbling_Reflexes,Defending_Pace,Physical_Positioning,Pace_Diving,Passing_Kicking,Shooting_Handling
L. Messi,34,170,72,Left,RW,91,44,91,95,96,96,85,93,20,96,95,94,70,40,68,91,94,75,93,94,91,86,24,80,72,35,69,95,88,6,11,15,14,8,,4,Medium,Low,Unique,95,34,65,85,91,92
R. Lewandowski,32,185,81,Right,ST,77,81,77,82,88,88,71,79,35,85,95,85,90,49,85,70,87,90,95,93,85,90,19,79,76,42,86,81,89,15,6,12,8,10,,4,High,Medium,Unique,86,44,82,78,79,92
Cristiano Ronaldo,36,187,83,Right,ST,85,63,86,74,88,95,87,81,24,88,95,84,90,29,95,77,93,88,95,94,80,94,24,88,77,32,77,76,86,7,11,15,14,11,,4,High,Low,Unique,88,34,75,87,80,94
Neymar Jr,29,175,68,Right,LW,93,63,96,84,95,93,85,88,35,95,83,87,63,37,64,81,81,93,86,89,86,80,29,89,81,32,53,90,86,9,9,15,15,11,,5,High,Medium,Unique,94,37,63,91,86,83
K. De Bruyne,30,181,70,Right,CM,76,76,79,78,91,89,94,85,68,88,82,83,55,66,63,93,91,83,88,91,94,91,53,76,89,65,74,94,82,15,13,5,10,13,,5,High,High,Unique,88,64,78,76,93,86
J. Oblak,28,188,87,Right,GK,43,34,67,49,30,68,13,13,27,12,11,14,15,19,78,40,12,11,11,88,43,59,18,60,41,12,78,65,13,87,92,78,90,90,50,3,Medium,Medium,Unique,,,,,,
K. Mbappe,22,182,73,Right,ST,97,62,92,83,91,88,78,80,26,93,93,69,72,38,78,71,82,79,92,93,85,86,32,97,88,34,77,82,83,13,5,7,11,6,,4,High,Low,Unique,92,36,77,97,80,88
M. Neuer,35,193,93,Right,GK,54,29,51,35,46,70,15,14,17,30,13,11,25,30,77,68,16,47,12,87,60,68,11,60,43,10,80,70,11,88,88,91,89,88,56,4,Medium,Medium,Unique,,,,,,
M. ter Stegen,29,187,85,Right,GK,38,43,39,43,30,70,18,18,25,21,14,12,11,22,79,63,10,25,11,86,61,66,10,50,35,13,78,70,14,88,85,88,88,90,43,4,Medium,Medium,Unique,,,,,,
H. Kane,27,188,89,Right,ST,65,80,71,70,85,91,80,83,50,83,94,65,86,44,79,86,86,91,94,92,85,91,38,74,83,36,85,87,88,8,10,11,14,11,,5,High,High,Unique,83,47,83,70,83,91
N. Kante,30,168,70,Right,CDM,82,93,82,92,81,84,68,49,90,79,65,49,54,91,77,79,65,54,72,93,82,71,86,75,97,93,72,78,56,15,12,10,7,10,,3,Medium,High,Unique,82,87,83,78,75,66
K. Benzema,33,185,81,Right,CF,77,63,79,72,90,90,75,81,43,87,90,73,89,39,79,73,79,84,90,91,86,85,18,75,78,24,82,87,86,13,11,5,5,7,,4,Medium,Medium,Normal (170-185),87,39,77,76,81,86
T. Courtois,29,199,96,Left,GK,42,23,62,45,23,66,14,19,20,13,14,20,13,15,68,35,17,27,13,84,33,56,16,52,38,18,70,44,12,84,89,74,86,88,46,3,Medium,Medium,Unique,,,,,,
H. Son,28,183,78,Right,LM,85,62,86,78,84,89,83,85,50,87,88,74,68,39,60,74,89,73,91,91,84,88,33,90,88,34,64,83,78,11,13,13,6,10,,5,High,High,Unique,86,43,69,88,82,87
Casemiro,29,185,84,Right,CDM,60,91,61,66,79,84,58,62,85,69,64,74,79,87,87,84,81,66,75,87,84,88,87,69,89,88,90,80,62,13,14,16,12,12,,3,High,High,Unique,73,86,90,65,76,73
V. van Dijk,29,193,92,Right,CB,66,83,61,53,76,90,53,60,92,70,52,70,87,90,90,86,64,62,47,87,79,81,86,88,69,92,92,65,45,13,10,13,11,11,,3,Medium,Medium,Unique,72,91,84,78,71,60
S. Mane,29,175,69,Right,LW,93,75,93,88,88,84,78,77,42,90,86,64,84,35,87,71,80,71,90,91,84,83,38,90,85,42,72,84,75,10,10,15,7,14,,4,High,Medium,Unique,89,44,77,91,80,83
M. Salah,29,175,71,Left,RW,89,63,91,91,89,90,79,83,38,90,91,69,59,55,69,75,84,86,91,92,84,82,41,91,85,43,75,83,81,14,14,9,11,14,,3,High,Medium,Unique,90,45,75,90,81,87
Ederson,27,188,86,Left,GK,64,38,60,48,40,70,20,15,29,23,14,20,14,27,66,66,18,51,20,88,61,70,8,63,41,15,78,70,18,87,82,93,88,88,64,3,Medium,Medium,Unique,,,,,,
J. Kimmich,26,177,75,Right,CDM,77,89,84,84,85,85,91,85,85,83,68,61,72,84,79,90,84,44,80,88,87,78,79,65,94,85,68,85,69,8,15,7,15,15,,4,High,Medium,Lean (170-185),84,83,79,70,86,73
Alisson,28,191,91,Right,GK,56,27,40,37,30,65,17,19,15,27,13,18,29,11,52,44,14,23,13,87,45,63,16,47,32,19,78,66,20,86,86,84,90,89,52,3,Medium,Medium,Unique,,,,,,
G. Donnarumma,22,196,90,Right,GK,50,30,64,38,30,68,12,12,20,28,12,14,12,26,72,34,18,24,14,85,36,59,16,55,34,14,72,60,8,91,83,79,85,90,52,3,Medium,Medium,Unique,,,,,,
Sergio Ramos,35,184,82,Right,CB,71,90,77,66,83,88,66,74,84,65,65,76,92,87,93,83,64,92,73,92,82,79,91,69,78,89,84,71,69,11,8,9,7,11,,3,High,Medium,Unique,74,88,84,70,76,70
L. Suarez,34,182,83,Right,ST,76,87,75,78,86,87,80,86,42,83,93,82,84,41,69,77,88,83,91,92,83,89,38,69,78,45,85,84,90,27,25,31,33,37,,4,High,Medium,Unique,84,47,83,72,82,90
T. Kroos,31,183,76,Right,CM,55,60,63,71,88,88,88,86,71,80,77,84,58,80,32,93,86,73,76,90,93,89,60,52,75,73,72,90,82,10,11,13,7,10,,5,Medium,Medium,Normal (170-185),81,71,68,53,91,81
